Exchange,Trade_date
SSE,2018-12-10
SSE,2018-12-11
SSE,2018-12-12
SSE,2018-12-13
SSE,2018-12-14
SSE,2018-12-17
SSE,2018-12-18
SSE,2018-12-19
SSE,2018-12-20
SSE,2018-12-21
SSE,2018-12-24
SSE,2018-12-25
SSE,2018-12-26
SSE,2018-12-27
SSE,2018-12-28
SSE,2019-01-02
SSE,2019-01-03
SSE,2019-01-04
SSE,2019-01-07
SSE,2019-01-08
SSE,2019-01-09
SSE,2019-01-10
SSE,2019-01-11
SSE,2019-01-14
SSE,2019-01-15
SSE,2019-01-16
SSE,2019-01-17
SSE,2019-01-18
SSE,2019-01-21
SSE,2019-01-22
SSE,2019-01-23
SSE,2019-01-24
SSE,2019-01-25
SSE,2019-01-28
SSE,2019-01-29
SSE,2019-01-30
SSE,2019-01-31
SSE,2019-02-01
SSE,2019-02-11
SSE,2019-02-12
SSE,2019-02-13
SSE,2019-02-14
SSE,2019-02-15
SSE,2019-02-18
SSE,2019-02-19
SSE,2019-02-20
SSE,2019-02-21
SSE,2019-02-22
SSE,2019-02-25
SSE,2019-02-26
SSE,2019-02-27
SSE,2019-02-28
SSE,2019-03-01
SSE,2019-03-04
SSE,2019-03-05
SSE,2019-03-06
SSE,2019-03-07
SSE,2019-03-08
SSE,2019-03-11
SSE,2019-03-12
SSE,2019-03-13
SSE,2019-03-14
SSE,2019-03-15
SSE,2019-03-18
SSE,2019-03-19
SSE,2019-03-20
SSE,2019-03-21
SSE,2019-03-22
SSE,2019-03-25
SSE,2019-03-26
SSE,2019-03-27
SSE,2019-03-28
SSE,2019-03-29
SSE,2019-04-01
SSE,2019-04-02
SSE,2019-04-03
SSE,2019-04-04
SSE,2019-04-08
SSE,2019-04-09
SSE,2019-04-10
SSE,2019-04-11
SSE,2019-04-12
SSE,2019-04-15
SSE,2019-04-16
SSE,2019-04-17
SSE,2019-04-18
SSE,2019-04-19
SSE,2019-04-22
SSE,2019-04-23
SSE,2019-04-24
SSE,2019-04-25
SSE,2019-04-26
SSE,2019-04-29
SSE,2019-04-30
SSE,2019-05-06
SSE,2019-05-07
SSE,2019-05-08
SSE,2019-05-09
SSE,2019-05-10
SSE,2019-05-13
SSE,2019-05-14
SSE,2019-05-15
SSE,2019-05-16
SSE,2019-05-17
SSE,2019-05-20
SSE,2019-05-21
SSE,2019-05-22
SSE,2019-05-23
SSE,2019-05-24
SSE,2019-05-27
