Instrument,Date,Close,Open,High,Low,Change,Pct_Chg,Volume,AMount,Turnover_rate
000300.SH,2013-11-08,2307.95,2329.08,2342.67,2306.04,-32.61,-1.39,537885.0,4856500.0,0.26
000300.SH,2013-11-11,2315.89,2305.94,2325.23,2295.0,7.94,0.34,457395.0,4256660.0,0.22
000300.SH,2013-11-12,2340.0,2319.36,2342.53,2316.6,24.11,1.04,526875.0,4985480.0,0.26
000300.SH,2013-11-13,2288.12,2325.36,2325.56,2287.55,-51.88,-2.22,598488.0,5318300.0,0.29
000300.SH,2013-11-14,2304.5,2291.27,2305.7,2279.01,16.39,0.72,573104.0,5194510.0,0.28
000300.SH,2013-11-15,2350.73,2306.55,2377.21,2306.55,46.23,2.01,863918.0,8314790.0,0.42
000300.SH,2013-11-18,2428.9,2367.88,2429.57,2361.04,78.17,3.33,1100350.0,10855000.0,0.53
000300.SH,2013-11-19,2412.16,2427.93,2427.93,2405.08,-16.74,-0.69,786483.0,7988490.0,0.38
000300.SH,2013-11-20,2424.85,2428.77,2435.43,2406.42,12.69,0.53,722918.0,6774140.0,0.35
000300.SH,2013-11-21,2409.99,2412.45,2415.38,2382.88,-14.86,-0.61,877067.0,8222050.0,0.43
000300.SH,2013-11-22,2397.96,2415.29,2419.0,2393.58,-12.03,-0.5,750007.0,7005220.0,0.36
000300.SH,2013-11-25,2388.63,2385.78,2418.85,2380.69,-9.33,-0.39,661447.0,6381130.0,0.32
000300.SH,2013-11-26,2387.42,2387.83,2399.02,2380.41,-1.21,-0.05,591859.0,5333420.0,0.29
000300.SH,2013-11-27,2414.48,2386.36,2422.81,2383.78,27.07,1.13,752941.0,7074480.0,0.37
000300.SH,2013-11-28,2439.53,2419.15,2460.56,2417.24,25.05,1.04,906604.0,8685240.0,0.44
000300.SH,2013-11-29,2438.94,2442.68,2446.4,2432.39,-0.59,-0.02,618037.0,6190740.0,0.3
000300.SH,2013-12-02,2418.79,2423.97,2464.86,2397.01,-20.16,-0.83,1196550.0,11292200.0,0.58
000300.SH,2013-12-03,2442.78,2410.69,2448.33,2406.66,24.0,0.99,744558.0,7204520.0,0.36
000300.SH,2013-12-04,2475.14,2439.82,2486.64,2434.69,32.35,1.32,1026500.0,9478390.0,0.5
000300.SH,2013-12-05,2468.2,2476.45,2481.75,2460.58,-6.94,-0.28,777089.0,7299990.0,0.38
000300.SH,2013-12-06,2452.29,2463.04,2470.81,2445.62,-15.91,-0.64,661141.0,6484320.0,0.32
000300.SH,2013-12-09,2450.87,2460.03,2468.95,2445.94,-1.41,-0.06,571649.0,5763450.0,0.28
