Instrument,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Vwap,Intra_tail_ratio,Intra_returns_skewness,Intra_returns_kurtosis,Intra_price_vol_corr,Intra_downside_ratio,Up_limit,Down_limit,Mfd_buyord,Mfd_sellord,Mfd_volinflowrate,Mkt_class,Ind_class_l1,Ind_class_l2,List_date
600418.SH,2008-07-31,4.4,4.16,4.42,4.15,4.4,-0.24,-5.45,57034.0,24253.5,0.6475,0.826,0.5,16.3222,19.0139,1.3313,0.3756,0.3483,3.0048,1.9231,128874.0,88086.8,69046.4,536114.0,366441.0,5.422,4.25246,0.357366,-0.47649,0.0251933,-0.306821,0.789847,4.84,3.96,2206,,,1,23,89,2001-08-24
600418.SH,2008-08-01,4.12,4.19,4.25,4.1,4.16,0.03,0.72,43764.8,18280.2,0.4968,0.6338,0.55,16.4399,19.151,1.3409,0.3783,0.3509,2.9833,1.9093,128874.0,88086.8,69046.4,539981.0,369084.0,5.422,4.17691,0.287947,0.68052,0.965214,0.586015,0.371779,4.58,3.74,1476,,,1,23,89,2001-08-24
600418.SH,2008-08-04,4.19,4.07,4.2,4.03,4.19,-0.12,-2.86,49514.3,20372.6,0.5621,0.7171,0.73,15.9691,18.6025,1.3025,0.3675,0.3408,3.0713,1.9656,128874.0,88086.8,69046.4,524516.0,358513.0,5.422,4.1145,0.317355,0.410112,1.94086,-0.436851,0.535073,4.61,3.77,8105,15630,-0.31683110253924784,1,23,89,2001-08-24
600418.SH,2008-08-05,4.07,4.0,4.12,3.98,4.07,-0.07,-1.72,32386.2,13100.3,0.3677,0.4691,0.57,15.6944,18.2826,1.2801,0.3611,0.3349,3.125,2.0,128874.0,88086.8,69046.4,515495.0,352347.0,5.422,4.04502,0.367443,-1.01642,3.04728,-0.683862,0.70502,4.48,3.66,1828,,,1,23,89,2001-08-24
600418.SH,2008-08-06,4.05,4.06,4.12,3.99,4.0,0.06,1.5,34393.8,13944.3,0.3905,0.4981,0.75,15.9298,18.5568,1.2993,0.3666,0.34,3.0788,1.9704,128874.0,88086.8,69046.4,523227.0,357633.0,5.422,4.05432,0.226173,-0.455749,1.10368,-0.279658,0.552329,4.4,3.6,4602,,,1,23,89,2001-08-24
600418.SH,2008-08-07,4.03,4.07,4.11,4.01,4.06,0.01,0.25,26693.7,10842.4,0.303,0.3866,0.61,15.9691,18.6025,1.3025,0.3675,0.3408,3.0713,1.9656,128874.0,88086.8,69046.4,524516.0,358513.0,5.422,4.06178,0.269798,0.430388,1.8184,0.149539,0.452623,4.47,3.65,0,,,1,23,89,2001-08-24
600418.SH,2008-08-08,4.09,3.76,4.09,3.75,4.07,-0.31,-7.62,55860.2,21825.8,0.6341,0.809,1.5,14.7527,17.1856,1.2033,0.3395,0.3148,3.3245,2.1277,128874.0,88086.8,69046.4,484565.0,331207.0,5.422,3.90722,0.458682,-0.947297,3.59966,-0.783397,0.803772,4.48,3.66,3201,,,1,23,89,2001-08-24
600418.SH,2008-08-11,3.79,3.47,3.83,3.45,3.76,-0.29,-7.71,68874.4,24717.7,0.7819,0.9975,1.73,13.6149,15.8601,1.1105,0.3133,0.2906,3.6023,2.3055,128874.0,88086.8,69046.4,447192.0,305661.0,5.422,3.58881,0.187705,-1.2126,2.09931,-0.491159,0.837712,4.14,3.38,4098,,,1,23,89,2001-08-24
600418.SH,2008-08-12,3.47,3.52,3.55,3.44,3.47,0.05,1.44,35096.9,12308.2,0.3984,0.5083,0.8,13.8111,16.0887,1.1265,0.3178,0.2948,3.5511,2.2727,128874.0,88086.8,69046.4,453635.0,310066.0,5.422,3.50692,0.142149,0.930747,1.98751,-0.0944149,0.356025,3.82,3.12,3867,,,1,23,89,2001-08-24
600418.SH,2008-08-13,3.48,3.49,3.52,3.34,3.52,-0.03,-0.85,50018.2,17132.4,0.5678,0.7244,1.13,13.6934,16.7624,1.0928,0.3151,0.273,3.5817,2.2923,128874.0,88086.8,69046.4,449769.0,307423.0,5.422,3.42524,0.229257,0.370117,0.0794153,-0.0687887,0.447237,3.87,3.17,3005,11092,-0.5699318170068111,1,23,89,2001-08-24
