Instrument,Date,Close,Open,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount
399370.SZ,2013-03-11,2954.47,2965.34,2977.06,2931.59,2972.72,-18.242,-0.6136,29777500.0,36455000.0
399370.SZ,2013-03-12,2901.11,2952.44,2981.9,2868.57,2954.47,-53.365,-1.8062,44205500.0,50750100.0
399370.SZ,2013-03-13,2875.4,2896.8,2902.5,2856.36,2901.11,-25.709,-0.8862,33791500.0,39198100.0
399370.SZ,2013-03-14,2883.53,2867.07,2901.34,2861.95,2875.4,8.135,0.2829,28892700.0,35209500.0
399370.SZ,2013-03-15,2887.86,2878.97,2953.81,2850.39,2883.53,4.329,0.1501,43674200.0,52696700.0
399370.SZ,2013-03-18,2844.11,2871.28,2893.27,2841.23,2887.86,-43.755,-1.5151,36551900.0,45603600.0
399370.SZ,2013-03-19,2865.48,2845.17,2865.67,2819.25,2844.11,21.366,0.7512,33604800.0,39983100.0
399370.SZ,2013-03-20,2967.66,2866.29,2967.71,2866.29,2865.48,102.189,3.5662,49005400.0,58431800.0
399370.SZ,2013-03-21,2979.07,2967.72,2992.7,2959.57,2967.66,11.402,0.3842,42267100.0,50597700.0
399370.SZ,2013-03-22,2983.91,2974.79,2992.44,2966.85,2979.07,4.848,0.1627,33991800.0,39599000.0
399370.SZ,2013-03-25,2982.07,2991.98,3006.11,2970.04,2983.91,-1.845,-0.0618,33413500.0,41002600.0
399370.SZ,2013-03-26,2942.99,2968.19,2975.42,2918.06,2982.07,-39.08,-1.3105,35768900.0,43457600.0
399370.SZ,2013-03-27,2945.9,2942.29,2979.71,2925.0,2942.99,2.91,0.0989,32036300.0,40158300.0
399370.SZ,2013-03-28,2845.18,2887.88,2887.88,2841.29,2945.9,-100.72,-3.419,44935400.0,54777200.0
399370.SZ,2013-03-29,2838.22,2843.98,2853.11,2817.66,2845.18,-6.961,-0.2447,31246600.0,37468100.0
399370.SZ,2013-04-01,2841.54,2830.99,2858.51,2827.48,2838.22,3.323,0.1171,30600200.0,36607100.0
399370.SZ,2013-04-02,2819.27,2843.96,2878.07,2811.32,2841.54,-22.271,-0.7838,33330800.0,40188600.0
399370.SZ,2013-04-03,2809.32,2826.22,2839.56,2798.93,2819.27,-9.954,-0.3531,28704900.0,33642100.0
399370.SZ,2013-04-08,2812.5,2763.66,2812.5,2742.78,2809.32,3.189,0.1135,33753100.0,40755000.0
399370.SZ,2013-04-09,2840.07,2817.59,2855.32,2817.59,2812.5,27.565,0.9801,31773000.0,39221500.0
399370.SZ,2013-04-10,2837.06,2839.19,2849.18,2814.52,2840.07,-3.008,-0.1059,31304800.0,40426000.0
399370.SZ,2013-04-11,2834.14,2853.45,2860.14,2831.39,2837.06,-2.922,-0.103,29949700.0,34208500.0
399370.SZ,2013-04-12,2821.11,2830.87,2849.88,2819.66,2834.14,-13.033,-0.4599,27792500.0,32459400.0
399370.SZ,2013-04-15,2792.02,2808.72,2816.48,2784.52,2821.11,-29.088,-1.0311,29866400.0,32558900.0
399370.SZ,2013-04-16,2820.23,2766.67,2820.76,2762.69,2792.02,28.215,1.0106,34825200.0,38095900.0
399370.SZ,2013-04-17,2832.35,2815.77,2834.54,2802.92,2820.23,12.116,0.4296,31713800.0,38036600.0
399370.SZ,2013-04-18,2840.04,2810.1,2850.01,2800.75,2832.35,7.688,0.2714,31579300.0,37217400.0
399370.SZ,2013-04-19,2916.54,2844.18,2925.07,2844.18,2840.04,76.501,2.6937,44618300.0,53095500.0
399370.SZ,2013-04-22,2918.21,2905.88,2922.91,2901.05,2916.54,1.675,0.0574,41572000.0,50241100.0
399370.SZ,2013-04-23,2824.58,2921.71,2921.71,2824.15,2918.21,-93.635,-3.2086,40905100.0,48953400.0
399370.SZ,2013-04-24,2880.82,2825.0,2896.4,2820.49,2824.58,56.242,1.9912,38989800.0,47801800.0
399370.SZ,2013-04-25,2836.82,2868.79,2886.23,2831.79,2880.82,-44.001,-1.5274,40035300.0,47566100.0
399370.SZ,2013-04-26,2802.65,2844.03,2855.81,2794.73,2836.82,-34.167,-1.2044,30432300.0,35857800.0
399370.SZ,2013-05-02,2806.95,2787.27,2809.46,2772.13,2802.65,4.296,0.1533,28180600.0,34948000.0
399370.SZ,2013-05-03,2860.61,2814.56,2890.12,2814.56,2806.95,53.666,1.9119,36165200.0,44054500.0
399370.SZ,2013-05-06,2906.76,2871.23,2914.7,2871.23,2860.61,46.144,1.6131,37024900.0,45454300.0
399370.SZ,2013-05-07,2919.21,2900.96,2927.39,2888.41,2906.76,12.449,0.4283,36635600.0,46893800.0
399370.SZ,2013-05-08,2941.6,2933.26,2954.28,2920.98,2919.21,22.395,0.7672,37930800.0,47749900.0
399370.SZ,2013-05-09,2925.42,2940.34,2944.51,2903.2,2941.6,-16.184,-0.5502,42434600.0,53813900.0
399370.SZ,2013-05-10,2938.6,2917.6,2947.07,2911.23,2925.42,13.181,0.4506,35240100.0,43997500.0
399370.SZ,2013-05-13,2925.16,2940.48,2947.84,2909.56,2938.6,-13.444,-0.4575,33683900.0,41503600.0
399370.SZ,2013-05-14,2872.41,2919.18,2919.18,2856.88,2925.16,-52.745,-1.8032,34284700.0,43297200.0
399370.SZ,2013-05-15,2899.22,2874.15,2899.27,2874.15,2872.41,26.808,0.9333,30622900.0,39223000.0
399370.SZ,2013-05-16,2948.46,2894.36,2948.46,2876.33,2899.22,49.245,1.6986,45392700.0,57489500.0
399370.SZ,2013-05-17,2990.22,2945.25,2997.23,2943.92,2948.46,41.755,1.4162,51995000.0,60890100.0
399370.SZ,2013-05-20,3030.96,2999.59,3044.39,2993.46,2990.22,40.742,1.3625,58085400.0,73610000.0
399370.SZ,2013-05-21,3046.32,3027.71,3046.35,3015.51,3030.96,15.362,0.5068,49895000.0,62637900.0
399370.SZ,2013-05-22,3044.04,3042.83,3064.91,3028.51,3046.32,-2.286,-0.075,52201900.0,63288600.0
399370.SZ,2013-05-23,3006.57,3031.12,3054.42,3001.25,3044.04,-37.471,-1.231,48941500.0,57749700.0
399370.SZ,2013-05-24,3031.68,3013.27,3035.83,2998.63,3006.57,25.117,0.8354,40331300.0,49569100.0
399370.SZ,2013-05-27,3038.9,3028.51,3045.21,3024.32,3031.68,7.214,0.238,42528100.0,52594900.0
399370.SZ,2013-05-28,3080.11,3038.41,3080.13,3016.76,3038.9,41.214,1.3562,49602600.0,60916300.0
399370.SZ,2013-05-29,3082.87,3085.18,3102.08,3080.03,3080.11,2.763,0.0897,52313300.0,61872900.0
399370.SZ,2013-05-30,3067.57,3070.57,3083.33,3051.85,3082.87,-15.304,-0.4964,41625000.0,50536200.0
399370.SZ,2013-05-31,3035.95,3071.88,3078.99,3032.79,3067.57,-31.617,-1.0307,41224700.0,50142000.0
399370.SZ,2013-06-03,3027.04,3039.49,3056.09,3018.26,3035.95,-8.915,-0.2936,37584900.0,47719400.0
399370.SZ,2013-06-04,2978.5,3024.8,3024.8,2963.77,3027.04,-48.539,-1.6035,37697500.0,46108500.0
399370.SZ,2013-06-05,2976.26,2978.13,2986.57,2956.3,2978.5,-2.234,-0.075,29922100.0,37529000.0
399370.SZ,2013-06-06,2937.93,2968.21,2972.47,2935.02,2976.26,-38.332,-1.2879,32848300.0,40297600.0
399370.SZ,2013-06-07,2890.05,2940.28,2953.0,2878.69,2937.93,-47.881,-1.6298,34791500.0,41645000.0
399370.SZ,2013-06-13,2805.35,2852.69,2852.69,2766.57,2890.05,-84.699,-2.9307,37078600.0,42904300.0
399370.SZ,2013-06-14,2842.77,2811.82,2846.77,2810.99,2805.35,37.413,1.3336,31624600.0,39616200.0
399370.SZ,2013-06-17,2835.23,2851.84,2857.38,2821.95,2842.77,-7.532,-0.265,31704000.0,41333500.0
399370.SZ,2013-06-18,2856.75,2840.74,2860.27,2822.71,2835.23,21.521,0.7591,29042500.0,37835400.0
399370.SZ,2013-06-19,2838.73,2843.17,2843.17,2800.2,2856.75,-18.029,-0.6311,30595800.0,38646400.0
399370.SZ,2013-06-20,2743.13,2821.45,2821.45,2740.91,2838.73,-95.6,-3.3677,31295800.0,38694700.0
399370.SZ,2013-06-21,2746.03,2696.7,2761.91,2673.52,2743.13,2.904,0.1059,31989700.0,38136300.0
399370.SZ,2013-06-24,2569.09,2733.11,2733.11,2554.55,2746.03,-176.943,-6.4436,45456800.0,49970300.0
399370.SZ,2013-06-25,2565.96,2536.07,2567.7,2381.72,2569.09,-3.132,-0.1219,56856000.0,59251700.0
399370.SZ,2013-06-26,2598.16,2572.73,2599.47,2538.03,2565.96,32.2,1.2549,42366700.0,48659000.0
399370.SZ,2013-06-27,2580.87,2604.06,2637.98,2575.79,2598.16,-17.283,-0.6652,43057000.0,48232700.0
399370.SZ,2013-06-28,2611.09,2563.82,2651.79,2549.53,2580.87,30.221,1.171,40908800.0,43754800.0
399370.SZ,2013-07-01,2641.53,2598.4,2641.53,2581.11,2611.09,30.434,1.1656,33998900.0,42386000.0
399370.SZ,2013-07-02,2656.25,2638.73,2662.39,2619.59,2641.53,14.727,0.5575,37024600.0,48049700.0
399370.SZ,2013-07-03,2651.45,2648.08,2658.73,2600.37,2656.25,-4.806,-0.1809,41895400.0,52380100.0
399370.SZ,2013-07-04,2666.74,2632.59,2698.79,2618.24,2651.45,15.296,0.5769,43731200.0,52353200.0
399370.SZ,2013-07-05,2666.26,2672.43,2705.32,2665.7,2666.74,-0.486,-0.0182,41575000.0,49350100.0
399370.SZ,2013-07-08,2592.53,2627.32,2648.21,2590.4,2666.26,-73.729,-2.7653,37909300.0,43480800.0
399370.SZ,2013-07-09,2594.41,2590.1,2608.6,2573.77,2592.53,1.877,0.0724,28284000.0,33473500.0
399370.SZ,2013-07-10,2665.81,2593.4,2665.81,2589.84,2594.41,71.403,2.7522,38470100.0,45007300.0
399370.SZ,2013-07-11,2784.39,2682.29,2809.18,2682.29,2665.81,118.58,4.4482,72569500.0,80302900.0
399370.SZ,2013-07-12,2731.8,2777.38,2800.64,2729.71,2784.39,-52.586,-1.8886,52487100.0,62690700.0
399370.SZ,2013-07-15,2774.37,2742.93,2793.7,2729.99,2731.8,42.566,1.5582,42797900.0,52367500.0
399370.SZ,2013-07-16,2792.05,2770.64,2792.29,2748.17,2774.37,17.686,0.6375,41954600.0,51002800.0
399370.SZ,2013-07-17,2745.13,2784.15,2796.25,2739.69,2792.05,-46.929,-1.6808,43194100.0,50930300.0
399370.SZ,2013-07-18,2705.49,2734.74,2745.25,2697.22,2745.13,-39.632,-1.4437,38217200.0,44148300.0
399370.SZ,2013-07-19,2632.55,2704.53,2719.51,2632.55,2705.49,-72.945,-2.6962,43779900.0,52142000.0
399370.SZ,2013-07-22,2659.44,2609.71,2659.62,2595.54,2632.55,26.886,1.0213,34458800.0,40742000.0
399370.SZ,2013-07-23,2737.56,2670.53,2748.26,2667.66,2659.44,78.127,2.9377,46300000.0,55551300.0
399370.SZ,2013-07-24,2730.75,2725.7,2744.3,2688.78,2737.56,-6.81,-0.2488,46927500.0,57316300.0
399370.SZ,2013-07-25,2699.04,2736.31,2751.05,2688.18,2730.75,-31.715,-1.1614,40480000.0,50527700.0
399370.SZ,2013-07-26,2691.77,2688.71,2707.92,2668.53,2699.04,-7.262,-0.2691,31504400.0,38352900.0
399370.SZ,2013-07-29,2634.05,2670.83,2670.83,2626.02,2691.77,-57.721,-2.1443,34168600.0,40544200.0
399370.SZ,2013-07-30,2636.63,2640.04,2674.04,2601.31,2634.05,2.574,0.0977,32813100.0,40453600.0
399370.SZ,2013-07-31,2641.57,2663.18,2693.02,2634.56,2636.63,4.947,0.1876,31299200.0,36856100.0
399370.SZ,2013-08-01,2713.3,2654.96,2713.3,2650.73,2641.57,71.725,2.7152,37755000.0,45218600.0
399370.SZ,2013-08-02,2718.99,2733.86,2751.36,2715.17,2713.3,5.686,0.2096,39164600.0,46449700.0
399370.SZ,2013-08-05,2755.14,2722.87,2755.14,2713.34,2718.99,36.153,1.3297,35113700.0,42044200.0
399370.SZ,2013-08-06,2775.03,2747.67,2786.57,2732.0,2755.14,19.888,0.7219,44671200.0,52444900.0
399370.SZ,2013-08-07,2761.27,2773.49,2797.53,2756.93,2775.03,-13.758,-0.4958,47188200.0,54315900.0
399370.SZ,2013-08-08,2762.2,2758.2,2785.3,2747.44,2761.27,0.931,0.0337,35563000.0,43506200.0
399370.SZ,2013-08-09,2770.02,2774.16,2793.68,2737.78,2762.2,7.816,0.283,40826100.0,50536100.0
399370.SZ,2013-08-12,2838.74,2783.12,2838.84,2783.12,2770.02,68.724,2.481,59634200.0,70532400.0
399370.SZ,2013-08-13,2857.31,2839.94,2857.47,2830.93,2838.74,18.574,0.6543,52141600.0,55546400.0
399370.SZ,2013-08-14,2844.98,2860.46,2883.86,2834.16,2857.31,-12.33,-0.4315,46857700.0,53305200.0
399370.SZ,2013-08-15,2809.41,2844.28,2857.24,2807.76,2844.98,-35.571,-1.2503,38436600.0,46127500.0
399370.SZ,2013-08-16,2779.5,2799.78,2896.34,2776.92,2809.41,-29.918,-1.0649,61192900.0,65978700.0
399370.SZ,2013-08-19,2831.37,2762.26,2836.71,2761.94,2779.5,51.874,1.8663,40183200.0,44721500.0
399370.SZ,2013-08-20,2814.38,2824.11,2858.44,2802.54,2831.37,-16.993,-0.6002,43582500.0,49001100.0
399370.SZ,2013-08-21,2808.38,2823.63,2824.88,2785.23,2814.38,-5.999,-0.2132,34693500.0,39325000.0
399370.SZ,2013-08-22,2810.82,2802.11,2835.5,2796.21,2808.38,2.448,0.0872,34976400.0,40694500.0
399370.SZ,2013-08-23,2792.6,2822.47,2831.03,2745.93,2810.82,-18.228,-0.6485,43676200.0,53324800.0
399370.SZ,2013-08-26,2846.9,2795.43,2847.48,2791.34,2792.6,54.305,1.9446,43755200.0,50357700.0
399370.SZ,2013-08-27,2857.2,2845.92,2859.03,2835.02,2846.9,10.299,0.3618,43350500.0,47817200.0
399370.SZ,2013-08-28,2833.52,2839.65,2854.83,2816.81,2857.2,-23.685,-0.829,56487300.0,63117300.0
399370.SZ,2013-08-29,2820.64,2841.32,2845.74,2810.59,2833.52,-12.88,-0.4546,46519400.0,50095900.0
399370.SZ,2013-08-30,2796.26,2816.81,2831.59,2785.01,2820.64,-24.379,-0.8643,55978500.0,57195900.0
399370.SZ,2013-09-02,2810.98,2803.14,2818.14,2777.61,2796.26,14.721,0.5265,51000900.0,56647000.0
399370.SZ,2013-09-03,2858.75,2817.95,2859.12,2816.01,2810.98,47.773,1.6995,52459600.0,55123200.0
399370.SZ,2013-09-04,2857.36,2858.63,2870.79,2850.69,2858.75,-1.388,-0.0486,52078100.0,55614200.0
399370.SZ,2013-09-05,2857.81,2857.56,2866.6,2847.58,2857.36,0.452,0.0158,46302500.0,52642200.0
399370.SZ,2013-09-06,2873.54,2851.27,2877.21,2849.58,2857.81,15.724,0.5502,45943400.0,50807600.0
399370.SZ,2013-09-09,2952.54,2886.14,2956.11,2884.24,2873.54,78.998,2.7492,76369500.0,78345000.0
399370.SZ,2013-09-10,2969.25,2960.11,2969.4,2939.54,2952.54,16.712,0.566,75761500.0,77454900.0
399370.SZ,2013-09-11,2958.67,2969.0,2981.66,2944.44,2969.25,-10.576,-0.3562,82512600.0,85677100.0
399370.SZ,2013-09-12,2973.0,2951.29,2992.78,2945.39,2958.67,14.322,0.4841,62860600.0,66097800.0
399370.SZ,2013-09-13,2972.26,2969.31,2982.15,2956.64,2973.0,-0.736,-0.0248,58974300.0,62631800.0
