Symbol,Date,Ind_class,List_date
000032.SZ,2022-06-30,建筑装饰,1993-10-28
000032.SZ,2022-07-29,建筑装饰,1993-10-28
000032.SZ,2022-08-31,建筑装饰,1993-10-28
000032.SZ,2022-09-30,建筑装饰,1993-10-28
000032.SZ,2022-10-31,建筑装饰,1993-10-28
000032.SZ,2022-11-30,建筑装饰,1993-10-28
000032.SZ,2022-12-30,建筑装饰,1993-10-28
000032.SZ,2023-01-31,建筑装饰,1993-10-28
000034.SZ,2016-12-30,计算机,1994-05-09
000034.SZ,2017-01-26,计算机,1994-05-09
000034.SZ,2017-02-28,计算机,1994-05-09
000034.SZ,2017-03-31,计算机,1994-05-09
000034.SZ,2017-04-28,计算机,1994-05-09
000034.SZ,2017-05-31,计算机,1994-05-09
000034.SZ,2017-06-30,计算机,1994-05-09
000034.SZ,2017-07-31,计算机,1994-05-09
000034.SZ,2017-08-31,计算机,1994-05-09
000034.SZ,2017-09-29,计算机,1994-05-09
000034.SZ,2017-10-31,计算机,1994-05-09
000034.SZ,2017-11-30,计算机,1994-05-09
000034.SZ,2017-12-29,计算机,1994-05-09
000034.SZ,2018-01-31,计算机,1994-05-09
000034.SZ,2018-02-28,计算机,1994-05-09
000034.SZ,2018-03-30,计算机,1994-05-09
000034.SZ,2018-04-27,计算机,1994-05-09
000034.SZ,2018-05-31,计算机,1994-05-09
000034.SZ,2018-06-29,计算机,1994-05-09
000034.SZ,2018-07-31,计算机,1994-05-09
000034.SZ,2018-08-31,计算机,1994-05-09
000034.SZ,2018-09-28,计算机,1994-05-09
