feature,count,missing,sum,mean,median,mode,min,q1,q3,max,variance,std,cv,skew,kurtosis
CS_IMXD10,1209170,0,-14434.700000000003,-0.011937692797538809,0.0,-0.5,-0.9,-0.5,0.5,0.9,0.3376704439046776,0.5810941781713852,-48.67726017302014,0.010268773351356963,-1.451920678457147
CS_IMXD20,1209170,0,-16808.350000000002,-0.013900733561037739,-0.1,-0.45,-0.95,-0.55,0.55,0.95,0.3538487003099231,0.59485183055104,-42.79283736639235,0.041479768072391336,-1.4494975135462658
CS_IMXD30,1209170,0,-27827.99997990499,-0.023014133645314547,-0.16666667,-0.46666667,-0.96666664,-0.56666666,0.53333336,0.96666664,0.35655315086485556,0.5971207171626651,-25.945826437148245,0.06885439468280301,-1.4387230805654196
CS_IMXD60,1209170,0,-50360.900260921975,-0.0416491479783008,-0.16666667,-0.6166667,-0.98333335,-0.56666666,0.5,0.98333335,0.3468933089793616,0.5889764927222152,-14.141381548286938,0.10495473886718285,-1.4216479226585415
CS_CORR5,1209104,66,339490.73612572206,0.28077877182254135,0.40756607499999997,0.9268659,-1.0,-0.120127555,0.7494717625,1.0,0.2935403963551553,0.5417936843071866,1.9296105641832946,-0.5971360232602339,-0.7797025652658376
CS_CORR10,1209168,2,395164.05633830273,0.3268065780258018,0.41639212999999997,0.69849443,-1.0,0.037670063000000004,0.68193815,1.0,0.18885560059984735,0.4345751955644125,1.3297626938528213,-0.6799525553240133,-0.3752545348058609
CS_CORR20,1209168,2,440907.81546640146,0.36463735019980803,0.44045034,0.50629777,-1.0,0.123171499,0.6676259600000001,1.0,0.14421508302260577,0.37975661024214674,1.0414638270984964,-0.7384455666624093,-0.1231085902071416
CS_CORR30,1209168,2,466450.0624458906,0.385761170032527,0.456988235,0.74857086,-1.0,0.16024827749999998,0.67252654,1.0,0.12998470253664668,0.36053391315748184,0.9346039497108586,-0.7661335181681437,-0.01995692810193006
CS_CORR60,1209168,2,503827.8906023171,0.4166731923126622,0.486911085,0.30054966,-1.0,0.2093116,0.6826497475,1.0,0.11293212969071335,0.3360537601198852,0.8065163929905959,-0.820608578850875,0.13352413197832602
CS_CORD5,1209147,23,252935.03705598818,0.20918468726795683,0.34618917,0.69263244,-1.0,-0.28837358999999996,0.738618875,1.0,0.34889922368509585,0.5906769198852244,2.8237101271595084,-0.4634445456591001,-1.0929488316179543
