Instrument,Date,Pre_Close,Open,High,Low,Close,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Swing,Up_Days,Down_Days,Constituent_Number,Constituent_Raise_Number,Constituent_Fall_Number,Constituent_Up_Number,Constituent_Dl_Number,Constituent_Chg_Ratio_Aa,Constituent_Chg_Ratio_M,New_High_Num,New_Low_Num,Up_Num_Ratio,Over250_Avgclose_Num_Ratio,Raise_Num_Ratio
000300.SH,2008-05-05,3959.119000,4015.212000,4061.472000,3972.561000,4055.779000,2.4414522524,6253407300,111004387244.000000,2.1167086100,2.4305919800,2.2457268903,3,0,300,271,16,18,1,3.3658000000,2.7135000000,1,0,6.0000000000,17.0000000000,90.3333333333
000300.SH,2008-05-06,4055.779000,4021.073000,4075.575000,3961.344000,4010.888000,-1.1068403875,5845928000,106198405592.000000,1.9878306300,2.2968893100,2.8164996170,0,1,300,73,211,2,1,-1.1524000000,-1.8130000000,1,0,0.6666666667,16.3333333333,24.3333333333
000300.SH,2008-05-07,4010.888000,3986.129000,4042.407000,3821.107000,3821.319000,-4.7263598485,5445770600,98465318595.000000,1.8568507100,2.1414508200,5.5174814156,0,2,300,16,271,1,4,-4.9077000000,-5.3401000000,2,0,0.3333333333,13.0000000000,5.3333333333
000300.SH,2008-05-08,3821.319000,3774.044000,3926.004000,3761.280000,3925.041000,2.7142983875,4405566800,77839103296.000000,1.5514762300,1.7912871900,4.3106581785,1,0,300,267,11,12,0,3.1564000000,2.5492000000,1,0,4.0000000000,15.3333333333,89.0000000000
000300.SH,2008-05-09,3925.041000,3960.886000,3973.058000,3806.519000,3878.924000,-1.1749431407,5365592900,96377859470.000000,1.8654688400,2.1417867300,4.2429875255,0,1,300,109,174,1,0,-0.5562000000,-1.4117000000,1,0,0.3333333333,15.0000000000,36.3333333333
000300.SH,2008-05-12,3878.924000,3804.985000,3952.789000,3766.577000,3904.920000,0.6701858557,4538266000,81691485405.000000,1.5677023800,1.8096957700,4.8006096536,1,0,300,192,83,5,0,1.3115000000,0.9390000000,2,1,1.6666666667,17.0000000000,64.0000000000
000300.SH,2008-05-13,3904.920000,3786.534000,3923.171000,3778.718000,3851.687000,-1.3632289522,5033801200,79847321451.000000,1.7907980900,2.0579737400,3.6992563228,0,1,300,94,179,4,0,-0.9948000000,-2.0556000000,2,0,1.3333333333,16.3333333333,31.3333333333
000300.SH,2008-05-14,3851.687000,3843.470000,3975.795000,3843.470000,3975.782000,3.2218350037,5060690100,85230874948.000000,1.7237122300,1.9894747200,3.4355076100,1,0,300,255,29,14,0,3.3363000000,3.3143000000,1,0,4.6666666667,17.3333333333,85.0000000000
000300.SH,2008-05-15,3975.782000,4006.658000,4038.852000,3948.062000,3948.088000,-0.6965673671,5077297500,81795877187.000000,1.8073761900,2.0949328400,2.2835759103,0,1,300,95,177,1,0,-0.5149000000,-0.9755000000,1,0,0.3333333333,17.0000000000,31.6666666667
000300.SH,2008-05-16,3948.088000,3948.034000,3982.221000,3882.895000,3936.121000,-0.3031087453,3972175200,66279363920.000000,1.3679492500,1.5681981900,2.5158000531,0,2,300,88,179,1,1,-0.7901000000,-1.1844000000,0,0,0.3333333333,17.0000000000,29.3333333333
