Instrument,Date,Pre_Close,Open,High,Low,Close,Pct_Chg,Volume,Amount,Turnover_rate,Turnover_rate_f,Swing,Up_Days,Down_Days,Constituent_Number,Constituent_Raise_Number,Constituent_Fall_Number,Constituent_Up_Number,Constituent_Dl_Number,Constituent_Chg_Ratio_Aa,Constituent_Chg_Ratio_M,New_High_Num,New_Low_Num,Up_Num_Ratio,Over250_Avgclose_Num_Ratio,Raise_Num_Ratio
000906.SH,2008-03-14,4263.020000,4242.970200,4279.740200,4161.439900,4225.520000,-0.8796580828,4000720000,67829158000.000000,1.0577491600,1.1890367700,2.7750350690,0,3,800,295,461,1,4,-0.7631000000,-0.4926000000,0,7,0.1250000000,48.8750000000,36.8750000000
000906.SH,2008-03-17,4225.520000,4206.410200,4206.410200,3992.939900,3998.720000,-5.3673867358,4929380000,79636908000.000000,1.3039769900,1.4689306000,5.0519297033,0,4,800,22,741,0,195,-7.6052000000,-8.6306000000,0,15,0E-10,29.8750000000,2.7500000000
000906.SH,2008-03-18,3998.720000,3953.330100,4028.470000,3712.540000,3774.530000,-5.6065440941,5885470000,87036955000.000000,1.5515238200,1.7486142900,7.9007782490,0,5,800,18,749,1,140,-7.2733000000,-7.9470000000,0,32,0.1250000000,18.5000000000,2.2500000000
000906.SH,2008-03-19,3774.530000,3848.530000,3977.030000,3785.090100,3912.310100,3.6502584428,6341580000,99951811000.000000,1.6759265100,1.8868660200,5.0851337782,1,0,800,747,26,34,1,4.5238000000,4.3436000000,0,5,4.2500000000,25.5000000000,93.3750000000
000906.SH,2008-03-20,3912.310100,3855.450000,4079.919900,3686.669900,4036.770000,3.1812381130,7464130000,118154716000.000000,1.9660127200,2.2158832300,10.0516060831,2,0,800,728,39,39,2,3.9568000000,3.6710000000,0,24,4.8750000000,30.7500000000,91.0000000000
000906.SH,2008-03-21,4036.770000,4033.850100,4121.330100,3996.679900,4077.189900,1.0012931131,6833250000,109109330000.000000,1.8068574000,2.0373771700,3.0878697573,3,0,800,539,201,20,2,1.4817000000,0.9397000000,0,0,2.5000000000,32.6250000000,67.3750000000
000906.SH,2008-03-24,4077.189900,4126.120100,4144.350100,3917.610100,3917.610100,-3.9139653515,6160000000,98798629000.000000,1.6700957600,1.8858790900,5.5611832061,0,1,800,118,639,4,10,-2.7772000000,-2.8986000000,1,4,0.5000000000,29.3750000000,14.7500000000
000906.SH,2008-03-25,3917.610100,3840.879900,3995.450000,3805.860100,3966.689900,1.2527995065,5463240000,87060608000.000000,1.4378241400,1.6207540600,4.8394274867,1,0,800,572,190,15,1,1.4839000000,1.4134000000,0,10,1.8750000000,32.8750000000,71.5000000000
000906.SH,2008-03-26,3966.689900,3986.550000,4057.659900,3942.189900,3970.030000,0.0842037085,4749640000,77163430000.000000,1.2515864400,1.4117668300,2.9109913533,2,0,800,308,444,3,1,-0.3171000000,-0.4861000000,0,3,0.3750000000,31.0000000000,38.5000000000
000906.SH,2008-03-27,3970.030000,3906.639900,3922.450000,3788.629900,3791.770000,-4.4901423919,5374890000,82141520000.000000,1.4133603700,1.5937032200,3.3707579036,0,1,800,44,722,1,50,-5.4000000000,-5.7411000000,0,17,0.1250000000,22.3750000000,5.5000000000
000906.SH,2008-03-28,3791.770000,3753.639900,3956.149900,3687.250000,3949.030000,4.1474034554,6517300000,101252477000.000000,1.7352932400,1.9591664600,7.0916722270,1,0,800,705,44,20,1,3.4502000000,3.2609000000,0,28,2.5000000000,26.0000000000,88.1250000000
000906.SH,2008-03-31,3949.030000,3835.200000,3919.679900,3802.550000,3807.590100,-3.5816365031,4849390000,74232125000.000000,1.2837084200,1.4455531900,2.9660422939,0,1,800,62,695,2,36,-4.5224000000,-4.7619000000,0,2,0.2500000000,19.7500000000,7.7500000000
000906.SH,2008-04-01,3807.590100,3792.300000,3832.189900,3560.720000,3573.399900,-6.1506147944,5805700000,84364436000.000000,1.5258039400,1.7177752100,7.1297039038,0,2,800,14,755,1,274,-8.3109000000,-9.4864000000,0,42,0.1250000000,12.2500000000,1.7500000000
000906.SH,2008-04-02,3573.399900,3607.740000,3668.850100,3455.870100,3502.330100,-1.9888566068,6584200000,94771441000.000000,1.7479245300,1.9696217100,5.9601501640,0,3,800,85,671,1,65,-5.0582000000,-5.7178000000,0,63,0.1250000000,9.6250000000,10.6250000000
000906.SH,2008-04-03,3502.330100,3472.659900,3621.320100,3409.810100,3600.899900,2.8144063291,5192830000,74190426000.000000,1.3572475600,1.5283021500,6.0391223546,1,0,800,680,84,10,2,2.8233000000,3.0309000000,0,51,1.2500000000,10.2500000000,85.0000000000
000906.SH,2008-04-07,3600.899900,3561.310100,3809.419900,3527.240000,3802.399900,5.5958234218,6233970000,94779189000.000000,1.6238717900,1.8318066400,7.8363716803,2,0,800,766,0,86,0,6.6041000000,6.3566000000,0,2,10.7500000000,15.2500000000,95.7500000000
000906.SH,2008-04-08,3802.399900,3809.470000,3897.210000,3779.179900,3856.090100,1.4120082425,6921800000,106088159000.000000,1.7926942500,2.0207288200,3.1040948639,3,0,800,654,107,25,1,2.1935000000,1.6045000000,0,0,3.1250000000,16.6250000000,81.7500000000
000906.SH,2008-04-09,3856.090100,3825.450000,3883.220000,3652.520000,3652.899900,-5.2693322700,6331740000,92821174000.000000,1.6393299300,1.8474585500,5.9827440235,0,1,800,33,728,5,52,-5.8367000000,-6.1491000000,0,0,0.6250000000,12.1250000000,4.1250000000
000906.SH,2008-04-10,3652.899900,3604.899900,3727.810100,3573.889900,3727.810100,2.0507049755,4951770000,70685210000.000000,1.2890499600,1.4503596300,4.2136440695,1,0,800,682,71,23,0,2.8188000000,2.4986000000,0,6,2.8750000000,14.5000000000,85.2500000000
000906.SH,2008-04-11,3727.810100,3764.409900,3802.720000,3732.750000,3763.000000,0.9439831712,4623650000,67839521000.000000,1.1961319700,1.3472134200,1.8769732932,2,0,800,609,141,6,0,1.5127000000,1.3897000000,0,0,0.7500000000,15.7500000000,76.1250000000
000906.SH,2008-04-14,3763.000000,3679.450000,3687.980000,3505.629900,3516.389900,-6.5535503588,5425390000,77937036000.000000,1.3885992600,1.5665931300,4.8458703162,0,1,800,25,743,3,110,-7.0130000000,-7.5940000000,0,11,0.3750000000,10.7500000000,3.1250000000
000906.SH,2008-04-15,3516.389900,3494.290000,3578.149900,3407.470000,3577.800000,1.7463962116,4879460000,69704650000.000000,1.2569768400,1.4185791700,4.8538388761,1,0,800,662,91,18,1,3.0106000000,3.1939000000,0,37,2.2500000000,12.8750000000,82.7500000000
000906.SH,2008-04-16,3577.800000,3569.020000,3580.169900,3476.649900,3489.340100,-2.4724663201,4394130000,62549009000.000000,1.1300666100,1.2740679200,2.8933981777,0,1,800,110,650,2,12,-2.7314000000,-3.0189000000,0,7,0.2500000000,11.7500000000,13.7500000000
000906.SH,2008-04-17,3489.340100,3488.560100,3552.850100,3333.159900,3379.919900,-3.1358422184,4675530000,65770562000.000000,1.1972065800,1.3478384100,6.2960386120,0,2,800,68,691,1,25,-3.8731000000,-3.9506000000,2,55,0.1250000000,9.7500000000,8.5000000000
000906.SH,2008-04-18,3379.919900,3350.590100,3379.050000,3239.179900,3254.090100,-3.7228633732,4462050000,59080843000.000000,1.1644912500,1.3116786500,4.1382667086,0,3,800,47,689,0,46,-5.3411000000,-5.7724000000,1,102,0E-10,8.8750000000,5.8750000000
